iter	Passed	Remaining
400	18733	27983
401	18790	27951
402	18847	27920
403	18896	27877
404	18959	27853
405	19041	27858
406	19118	27856
407	19212	27877
408	19272	27847
409	19339	27829
410	19393	27793
411	19437	27740
412	19479	27686
413	19520	27629
414	19565	27580
415	19592	27504
416	19633	27448
417	19675	27394
418	19718	27341
419	19761	27290
420	19806	27239
421	19835	27167
422	19875	27111
423	19913	27052
424	19954	26997
425	19993	26939
426	20033	26883
427	20073	26826
428	20112	26769
429	20152	26713
430	20199	26667
431	20225	26593
432	20267	26539
433	20293	26465
434	20325	26399
435	20364	26342
436	20404	26287
437	20442	26230
438	20496	26192
439	20536	26137
440	20575	26080
441	20616	26026
442	20655	25970
443	20697	25918
444	20740	25867
445	20782	25815
446	20821	25759
447	20861	25704
448	20901	25649
449	20941	25594
450	20982	25541
451	21024	25489
452	21065	25436
453	21096	25372
454	21136	25317
455	21175	25262
456	21201	25191
457	21233	25127
458	21258	25056
459	21299	25003
460	21330	24939
461	21357	24870
462	21398	24818
463	21437	24764
464	21477	24710
465	21516	24656
466	21538	24582
467	21584	24535
468	21632	24492
469	21659	24424
470	21708	24381
471	21758	24340
472	21807	24296
473	21855	24252
474	21905	24210
475	21941	24153
476	21991	24112
477	22041	24070
478	22073	24009
479	22114	23957
480	22154	23904
481	22194	23851
482	22233	23799
483	22274	23747
484	22298	23677
485	22337	23624
486	22377	23571
487	22417	23519
488	22458	23469
489	22491	23409
490	22533	23359
491	22567	23301
492	22610	23252
493	22652	23203
494	22695	23154
495	22738	23105
496	22783	23058
497	22824	23007
498	22863	22955
499	22904	22904
500	22945	22853
501	22985	22802
502	23026	22752
503	23067	22701
504	23109	22651
505	23149	22600
506	23175	22535
507	23216	22485
508	23255	22433
509	23296	22382
510	23326	22322
511	23366	22271
512	23393	22207
513	23434	22157
514	23476	22108
515	23518	22059
516	23564	22015
517	23604	21964
518	23645	21913
519	23689	21867
520	23732	21819
521	23773	21769
522	23812	21718
523	23839	21655
524	23870	21596
525	23911	21548
526	23954	21500
527	23993	21448
528	24032	21397
529	24070	21345
530	24111	21295
531	24151	21246
532	24190	21194
533	24229	21144
534	24268	21093
535	24308	21043
536	24349	20994
537	24388	20943
538	24429	20894
539	24459	20836
540	24513	20797
541	24566	20758
542	24615	20717
543	24672	20681
544	24716	20634
545	24766	20593
546	24817	20552
547	24863	20507
548	24910	20463
549	24952	20415
550	24990	20364
551	25031	20315
552	25070	20264
553	25101	20208
554	25143	20160
555	25185	20111
556	25225	20062
557	25265	20013
558	25307	19965
559	25339	19909
560	25378	19859
561	25417	19809
562	25456	19758
563	25504	19715
564	25553	19673
565	25601	19631
566	25654	19591
567	25690	19539
568	25733	19492
569	25765	19437
570	25805	19387
571	25844	19338
572	25882	19287
573	25921	19238
574	25962	19189
575	26000	19139
576	26039	19089
577	26079	19040
578	26119	18991
579	26163	18945
580	26201	18895
581	26250	18853
582	26285	18800
583	26333	18758
584	26377	18712
585	26409	18658
586	26449	18609
587	26486	18558
588	26526	18510
589	26565	18460
590	26603	18410
591	26625	18350
592	26651	18292
593	26692	18244
594	26719	18187
595	26758	18138
596	26798	18090
597	26825	18033
598	26866	17985
599	26905	17937
600	26950	17892
601	27007	17855
602	27061	17816
603	27099	17767
604	27149	17725
605	27195	17681
606	27242	17638
607	27272	17583
608	27297	17526
609	27342	17481
610	27388	17437
611	27437	17394
612	27493	17356
613	27543	17315
614	27596	17275
615	27639	17229
616	27688	17187
617	27736	17144
618	27776	17096
619	27819	17050
620	27859	17002
621	27898	16954
622	27949	16913
623	27988	16864
624	28051	16830
625	28115	16797
626	28165	16755
627	28215	16713
628	28271	16675
629	28320	16632
630	28368	16589
631	28417	16546
632	28477	16510
633	28524	16467
634	28572	16423
635	28623	16382
636	28676	16341
637	28731	16302
638	28785	16262
639	28843	16224
640	28893	16182
641	28938	16136
642	28997	16099
643	29052	16059
644	29107	16020
645	29159	15979
646	29221	15943
647	29277	15904
648	29322	15858
649	29367	15813
650	29418	15771
651	29467	15728
652	29520	15686
653	29568	15643
654	29614	15598
655	29664	15555
656	29727	15519
657	29773	15475
658	29815	15428
659	29867	15386
660	29918	15343
661	29976	15305
662	30033	15265
663	30093	15227
664	30135	15180
665	30218	15154
666	30277	15115
667	30323	15070
668	30379	15030
669	30440	14993
670	30507	14958
671	30566	14919
672	30631	14883
673	30673	14836
674	30712	14787
675	30760	14743
676	30801	14695
677	30849	14651
678	30897	14606
679	30947	14563
680	30995	14519
681	31045	14475
682	31089	14429
683	31146	14389
684	31193	14344
685	31220	14290
686	31261	14243
687	31308	14197
688	31356	14153
689	31410	14111
690	31450	14063
691	31491	14016
692	31517	13962
693	31557	13914
694	31597	13866
695	31635	13817
696	31677	13771
697	31717	13722
698	31769	13680
699	31817	13636
700	31866	13592
701	31917	13548
702	31967	13505
703	32013	13460
704	32059	13415
705	32105	13369
706	32145	13321
707	32185	13274
708	32233	13229
709	32259	13176
710	32298	13128
711	32320	13073
712	32359	13025
713	32399	12978
714	32439	12930
715	32479	12882
716	32517	12834
717	32556	12786
718	32598	12740
719	32646	12695
720	32693	12651
721	32743	12607
722	32787	12561
723	32827	12514
724	32859	12463
725	32905	12418
726	32944	12371
727	32984	12324
728	33024	12276
729	33064	12229
730	33103	12181
731	33134	12131
732	33173	12083
733	33213	12036
734	33252	11988
735	33290	11941
736	33312	11887
737	33352	11840
738	33391	11793
739	33430	11746
740	33469	11698
741	33508	11651
742	33547	11603
743	33578	11553
744	33617	11506
745	33657	11459
746	33688	11409
747	33727	11362
748	33766	11315
749	33807	11269
750	33830	11216
751	33870	11170
752	33895	11118
753	33935	11071
754	33974	11024
755	34012	10977
756	34044	10928
757	34084	10881
758	34122	10834
759	34172	10791
760	34222	10747
761	34269	10703
762	34302	10655
763	34339	10607
764	34389	10564
765	34434	10519
766	34489	10477
767	34549	10436
768	34586	10389
769	34627	10343
770	34666	10296
771	34707	10250
772	34751	10205
773	34800	10161
774	34847	10116
775	34894	10072
776	34940	10028
777	34988	9983
778	35035	9939
779	35060	9888
780	35100	9842
781	35144	9797
782	35186	9751
783	35225	9704
784	35276	9661
785	35326	9618
786	35372	9573
787	35420	9529
788	35464	9484
789	35511	9439
790	35591	9404
791	35667	9367
792	35722	9324
793	35754	9276
794	35806	9233
795	35843	9186
796	35875	9137
797	35918	9092
798	35971	9049
799	36052	9013
800	36106	8970
801	36131	8920
802	36170	8873
803	36211	8827
804	36251	8781
805	36291	8735
806	36330	8688
807	36376	8643
808	36426	8599
809	36458	8552
810	36506	8507
811	36554	8463
812	36596	8417
813	36619	8367
814	36658	8321
815	36696	8274
816	36737	8228
817	36778	8182
818	36805	8134
819	36849	8088
820	36899	8044
821	36947	8000
822	36996	7956
823	37027	7908
824	37073	7863
825	37146	7824
826	37195	7780
827	37264	7741
828	37317	7697
829	37369	7653
830	37403	7606
831	37444	7560
832	37471	7512
833	37512	7466
834	37564	7422
835	37606	7377
836	37645	7331
837	37684	7284
838	37736	7241
839	37785	7197
840	37835	7153
841	37882	7108
842	37944	7066
843	37985	7021
844	38045	6978
845	38124	6939
846	38169	6894
847	38219	6850
848	38248	6802
849	38296	6758
850	38344	6713
851	38379	6666
852	38407	6618
853	38447	6572
854	38495	6528
855	38547	6484
856	38596	6440
857	38644	6395
858	38692	6351
859	38734	6305
860	38798	6263
861	38850	6219
862	38898	6175
863	38948	6130
864	38988	6084
865	39033	6039
866	39066	5992
867	39106	5947
868	39145	5901
869	39187	5855
870	39209	5807
871	39247	5761
872	39290	5715
873	39330	5670
874	39379	5625
875	39429	5581
876	39477	5536
877	39524	5492
878	39575	5447
879	39626	5403
880	39705	5363
881	39763	5319
882	39794	5272
883	39840	5228
884	39892	5183
885	39940	5139
886	39988	5094
887	40031	5049
888	40077	5004
889	40112	4957
890	40162	4913
891	40219	4869
892	40269	4825
893	40320	4780
894	40371	4736
895	40420	4691
896	40466	4646
897	40513	4601
898	40552	4556
899	40596	4510
900	40636	4465
901	40678	4419
902	40728	4375
903	40777	4330
904	40810	4283
905	40860	4239
906	40909	4194
907	40947	4148
908	40994	4103
909	41043	4059
910	41078	4013
911	41119	3967
912	41142	3920
913	41189	3875
914	41219	3829
915	41258	3783
916	41296	3737
917	41336	3692
918	41375	3646
919	41402	3600
920	41424	3553
921	41463	3507
922	41501	3462
923	41540	3416
924	41580	3371
925	41620	3326
926	41660	3280
927	41701	3235
928	41731	3189
929	41769	3143
930	41808	3098
931	41848	3053
932	41874	3007
933	41914	2961
934	41954	2916
935	41993	2871
936	42031	2826
937	42070	2780
938	42115	2735
939	42164	2691
940	42212	2646
941	42262	2602
942	42311	2557
943	42357	2512
944	42400	2467
945	42438	2422
946	42488	2377
947	42530	2332
948	42570	2287
949	42609	2242
950	42649	2197
951	42687	2152
952	42727	2107
953	42767	2062
954	42806	2017
955	42846	1972
956	42885	1926
957	42926	1881
958	42974	1837
959	43007	1791
960	43056	1747
961	43105	1702
962	43147	1657
963	43226	1614
964	43296	1570
965	43343	1525
966	43388	1480
967	43427	1435
968	43467	1390
969	43504	1345
970	43526	1299
971	43556	1254
972	43597	1209
973	43637	1164
974	43677	1119
975	43717	1075
976	43769	1030
977	43799	985
978	43848	940
979	43894	895
980	43936	850
981	43976	806
982	44015	761
983	44053	716
984	44093	671
985	44133	626
986	44172	581
987	44204	536
988	44245	492
989	44292	447
990	44342	402
991	44392	358
992	44423	313
993	44454	268
994	44500	223
995	44542	178
996	44594	134
997	44649	89
998	44695	44
999	44735	0
