iter	RMSE
360	575.8423362
361	575.7873343
362	575.7374258
363	575.6974396
364	575.656601
365	575.5832277
366	575.5546163
367	575.518209
368	575.2534445
369	574.7156874
370	574.7130217
371	574.506865
372	574.0407527
373	574.0085693
374	573.8983023
375	573.8912451
376	573.2207173
377	573.2007258
378	572.8934471
379	572.4514121
380	572.1025975
381	572.0296204
382	571.9734169
383	571.8670172
384	571.6421777
385	571.5709265
386	571.5635305
387	570.9789582
388	570.9463947
389	570.8375935
390	570.7934696
391	570.7934638
392	570.3611624
393	570.346607
394	570.3244667
395	570.2822386
396	570.2616866
397	570.2080357
398	570.113866
399	569.8415064
400	569.7986777
401	569.7656226
402	569.73991
403	569.7061815
404	569.4131484
405	568.9537032
406	568.9296809
407	568.897047
408	568.6455929
409	568.4693703
410	568.4213575
411	568.4059947
412	568.3296109
413	568.3097598
414	567.9681074
415	567.9667121
416	567.848831
417	567.8234773
418	567.7943105
419	567.5710894
420	567.3003251
421	567.2986871
422	567.0749258
423	567.0676213
424	567.0516652
425	567.0378233
426	567.0117099
427	566.9580967
428	566.9252122
429	566.9030671
430	566.7048694
431	566.7043887
432	566.5300148
433	566.5288037
434	566.5065719
435	566.4331443
436	566.414499
437	566.3336794
438	566.3129256
439	566.1960449
440	566.1921806
441	565.8761134
442	565.8578636
443	565.6789444
444	565.0261773
445	564.5383401
446	564.5362939
447	564.5198917
448	564.4907276
449	564.4765804
450	564.4558006
451	564.3057914
452	564.076612
453	564.0736664
454	563.8397788
455	563.8193569
456	563.8181856
457	563.8167205
458	563.8154098
459	563.3331413
460	563.3317078
461	563.3304273
462	563.3184652
463	563.3109756
464	563.1232978
465	563.0919728
466	563.0919634
467	562.9934738
468	562.9206947
469	562.920281
470	562.4647893
471	562.3043533
472	561.9173473
473	561.8979593
474	561.3690568
475	561.3644362
476	561.3556972
477	561.3299263
478	561.3283835
479	561.307904
480	561.2083232
481	561.1877088
482	560.9284303
483	560.9076392
484	560.9076034
485	560.8913441
486	560.8623228
487	560.8579542
488	560.7045884
489	560.7033271
490	560.2278365
491	560.2087929
492	560.0963564
493	560.0816578
494	559.8924057
495	559.7925689
496	559.7757564
497	559.7544329
498	559.7477263
499	559.7354155
500	559.7308185
501	559.7182628
502	559.7140762
503	559.6965172
504	559.65571
505	559.6364999
506	559.6335158
507	559.4284881
508	559.4011018
509	559.3411346
510	559.3388943
511	559.3255379
512	559.3225309
513	559.3191651
514	559.3049487
515	559.236625
516	558.8860914
517	558.8763042
518	558.8593198
519	558.8244074
520	558.8073939
521	558.6466366
522	558.632961
523	558.6193528
524	558.605835
525	558.5393467
526	558.5279467
527	558.5214421
528	558.4408465
529	558.4385607
530	558.4314501
531	558.3990097
532	558.3465396
533	557.9894546
534	557.7224551
535	557.3817496
536	557.1507544
537	557.1366455
538	556.8482154
539	556.844786
540	556.8241846
541	556.8226598
542	556.8051675
543	556.7906205
544	556.6941436
545	556.4811661
546	556.4071817
547	556.3899121
548	556.1699366
549	556.1481394
550	556.1456312
551	556.1278085
552	556.1157732
553	556.1149756
554	556.0401125
555	555.9734795
556	555.9624684
557	555.9498323
558	555.7287687
559	555.7272656
560	555.7116542
561	555.7049223
562	555.6989724
563	555.6078788
564	555.2143529
565	555.1973675
566	555.1967763
567	555.1962499
568	554.9370358
569	554.9338272
570	554.9330488
571	554.9127254
572	554.9100563
573	554.8706932
574	554.8609878
575	554.8574165
576	554.8564366
577	554.7570204
578	554.7479014
579	554.7454254
580	554.7438103
581	554.7413276
582	554.7411664
583	554.5193649
584	554.5111733
585	554.5096944
586	554.2684375
587	554.259744
588	554.0893026
589	554.0854012
590	554.0698037
591	554.0690449
592	554.0680953
593	553.8804172
594	553.8794759
595	553.8738907
596	553.8080659
597	553.8074008
598	553.7947889
599	553.7692688
600	553.7505506
601	553.2787564
602	553.228228
603	553.2274389
604	553.2233742
605	553.2222623
606	553.0780118
607	553.0773291
608	553.0770866
609	553.0589745
610	553.0478531
611	553.043369
612	553.0351518
613	552.8911762
614	552.8883199
615	552.8877287
616	552.8582719
617	552.6199841
618	552.6142883
619	552.2537982
620	552.2497647
621	552.2465485
622	552.223125
623	552.2219745
624	552.0160288
625	551.9821477
626	551.9171294
627	551.9118499
628	551.8984959
629	551.8860189
630	551.885132
631	551.8797932
632	551.8761818
633	551.84571
634	551.7598254
635	551.3945482
636	551.3828454
637	551.3649492
638	551.3472422
639	551.3377407
640	551.3337394
641	551.3310561
642	551.3214979
643	550.9184872
644	550.8237549
645	550.8131749
646	550.8073257
647	550.4340914
648	550.422541
649	550.4003559
650	550.396538
651	550.3861367
652	550.309714
653	550.3057089
654	550.2612284
655	550.2479119
656	550.2291066
657	549.8252699
658	549.8133487
659	549.8100348
660	549.7966999
661	549.7930031
662	549.7450927
663	549.7059154
664	549.7053272
665	549.6957923
666	549.5415943
667	549.5408684
668	549.5302957
669	549.5243157
670	549.4839336
671	549.3202617
672	549.3196087
673	549.3131563
674	549.3032497
675	549.2935062
676	549.2882275
677	549.149393
678	549.1049139
679	549.0104432
680	549.0099112
681	549.0023336
682	548.991043
683	548.7580916
684	548.7575344
685	548.7572626
686	548.7535353
687	548.6142829
688	548.6080858
689	548.6058408
690	548.5576036
691	548.2628997
692	548.2597168
693	548.0689445
694	547.8813467
695	547.8729268
696	547.8655483
697	547.5656494
698	547.5533362
699	547.5309632
700	547.5274532
701	547.0783853
702	546.8872444
703	546.4539458
704	546.4210946
705	546.3476099
706	546.3251647
707	546.3155994
708	546.2851737
709	546.2847444
710	546.112796
711	546.1122166
712	546.1075598
713	546.0336406
714	546.0282197
715	545.9204225
716	545.9134728
717	545.8363557
718	545.8302099
719	545.8289905
720	545.8161515
721	545.7161718
722	545.5686338
723	545.5664924
724	545.5657444
725	545.5634821
726	545.5540339
727	545.3328098
728	545.0854533
729	545.0821515
730	545.0810035
731	545.0800773
732	545.079033
733	545.0758669
734	545.0700755
735	545.067671
736	545.067429
737	545.0108081
738	545.0083326
739	544.7827871
740	544.762049
741	544.761507
742	544.755576
743	544.7552902
744	544.7480489
745	544.7457308
746	544.7450795
747	544.6508302
748	544.6448514
749	544.6412285
750	544.6410816
751	544.3388998
752	544.3386761
753	544.3358596
754	544.3284242
755	544.3241978
756	544.3235979
757	544.2234243
758	544.2229559
759	544.2155688
760	544.1967156
761	544.1957857
762	544.1955281
763	544.1948837
764	544.1889805
765	544.1806203
766	544.1804955
767	544.1723822
768	544.1716072
769	544.1697439
770	544.1645099
771	544.1302337
772	544.1256361
773	544.0346408
774	544.0339481
775	544.0242946
776	544.0228839
777	543.9922609
778	543.9912044
779	543.9860201
780	543.9819177
781	543.9797748
782	543.8005044
783	543.7854699
784	543.63932
785	543.5891856
786	543.5841829
787	543.5838446
788	543.5785185
789	543.5744337
790	543.5621591
791	543.5056462
792	543.4720967
793	543.4719501
794	543.4669904
795	543.4668727
796	543.4667594
797	543.4650827
798	543.4070888
799	543.3922668
800	543.1997813
801	543.1997144
802	543.1950071
803	543.1890717
804	543.1845431
805	543.0248274
806	543.0139329
807	542.8672508
808	542.8638921
809	542.8636839
810	542.8552623
811	542.6533569
812	542.6513744
813	542.6513356
814	542.6496744
815	542.6495863
816	542.6273319
817	542.5595875
818	542.5594774
819	542.5414352
820	542.4767387
821	542.4748062
822	542.3836133
823	542.3830507
824	542.3770085
825	542.3260859
826	542.3165373
827	542.3015896
828	542.2999257
829	542.2970121
830	542.296919
831	542.2870984
832	542.287052
833	542.2864948
834	542.2804355
835	542.2797019
836	542.2611445
837	542.2608488
838	542.2185384
839	542.2164403
840	542.203812
841	542.1985669
842	542.1834994
843	541.9606059
844	541.9099553
845	541.6176599
846	541.5165567
847	541.5129415
848	541.5129138
849	541.502154
850	541.500401
851	541.5003459
852	541.5001456
853	541.3736289
854	541.3732995
855	541.2323531
856	541.2027533
857	540.9699786
858	540.8810995
859	540.8799751
860	540.6738581
861	540.4537279
862	540.4529764
863	540.4527099
864	540.4511707
865	540.4254994
866	540.4254461
867	540.4031555
868	540.3186542
869	540.2393268
870	540.2393001
871	540.2388037
872	540.2348088
873	540.2326937
874	540.2286776
875	539.8404371
876	539.8364659
877	539.2994989
878	539.2792659
879	539.2672603
880	539.2671101
881	539.2625689
882	539.261719
883	539.2386829
884	539.2372932
885	539.2238563
886	539.2200867
887	539.2061933
888	539.1607825
889	539.1543438
890	539.1495248
891	539.0491253
892	539.0421512
893	539.0312617
894	538.5607948
895	538.5601744
896	538.5557999
897	538.4572026
898	538.4504293
899	538.4481862
900	538.4478441
901	538.447339
902	538.4432547
903	538.4138863
904	538.4138181
905	538.4046224
906	538.4040581
907	538.4040093
908	538.2301238
909	538.0650763
910	538.0649855
911	537.9787735
912	537.9787572
913	537.9784062
914	537.9781721
915	537.9599369
916	537.9588082
917	537.9577032
918	537.9543971
919	537.954363
920	537.9543213
921	537.9524434
922	537.95064
923	537.9483605
924	537.9449612
925	537.8504973
926	537.7210606
927	537.6872584
928	537.6871837
929	537.6868824
930	537.675567
931	537.6723913
932	537.6723338
933	537.6465427
934	537.6456794
935	537.6411568
936	537.6383263
937	537.6379618
938	537.6360729
939	537.6351084
940	537.6346568
941	537.6275232
942	537.5611078
943	537.5577171
944	537.5547214
945	537.5410074
946	537.4696886
947	537.4510485
948	537.4485531
949	537.2930599
950	537.2905564
951	537.2897998
952	537.2590708
953	537.2563299
954	537.2559541
955	537.2533877
956	537.2514701
957	537.2490638
958	537.2488227
959	537.2482841
960	537.2473404
961	537.2465498
962	537.2451678
963	537.2421991
964	537.0750936
965	537.0750079
966	537.0289376
967	537.0153463
968	537.0140307
969	537.0136567
970	537.0135689
971	537.0134846
972	536.7760025
973	536.7681384
974	536.767419
975	536.7657604
976	536.7234289
977	536.7233583
978	536.6936607
979	536.6906678
980	536.6721174
981	536.6612086
982	536.659658
983	536.6590032
984	536.4012706
985	536.3713179
986	536.3670736
987	536.366969
988	536.3666295
989	536.3642923
990	536.3632246
991	536.362558
992	536.362494
993	536.3624777
994	536.3566067
995	536.353988
996	536.3398917
997	536.3344566
998	536.3208428
999	536.3041022
